day.frac,min.flux,mean.flux,max.flux
0.722222222,93.12316257,159.2756521,213.7692101
0.722916667,85.98177475,155.9415411,181.2709029
0.723611111,86.31590082,152.6839976,177.4842412
0.724305556,84.75664584,149.4694772,173.7511672
0.725,84.31114441,147.3889898,173.4988851
0.725694444,87.76378045,145.2799084,176.2854368
0.726388889,77.07174628,143.0264752,166.2580612
0.727083333,75.84661736,140.7706936,163.9042841
0.727777778,75.73524201,137.094151,163.8396507
0.728472222,74.84423916,133.6219221,163.7196466
0.729166667,90.2853185,130.3781869,219.2957265
0.729861111,89.76853685,127.0953875,147.7393097
0.730555556,89.31858041,123.9165067,144.0440878
0.73125,89.15374489,120.9118514,140.5513907
0.731944444,88.94881423,118.3621862,137.5875871
0.732638889,88.69487842,115.8587428,140.8893572
0.733333333,85.46814904,113.3555297,131.7677065
0.734027778,84.61533436,110.8580827,128.8646027
0.734722222,84.04858488,108.3505144,125.9497337
0.735416667,83.97139743,105.7782461,122.9596555
0.736111111,87.75632086,103.2427304,137.3861624
0.736805556,73.58547309,100.7370972,120.2722941
0.7375,73.85323451,98.22121708,120.0590562
0.738194444,73.75458434,93.90490897,117.7256238
0.738888889,73.73999031,92.28098427,116.1293854
0.739583333,77.05812024,90.65661205,138.1477265
0.740277778,73.20477344,89.16974703,112.9734638
0.740972222,74.06784502,87.57484316,111.3528555
0.741666667,73.85839349,91.13784675,111.8646265
0.742361111,73.79644692,93.99595798,111.6574811
0.743055556,75.6189722,96.90664651,120.936378
0.74375,66.68331748,99.27067642,115.3950706
0.744444444,65.97164867,101.6229018,118.1293645
0.745138889,66.55938883,103.8421619,120.7090959
0.745833333,66.25389257,105.8922687,123.0921987
0.746527778,68.63356783,107.8951398,125.4203932
0.747222222,60.10238966,109.902516,127.7538246
0.747916667,60.29530351,111.8453211,130.0121968
0.748611111,61.56097772,113.0906305,131.4597801
0.749305556,59.67077419,114.7930388,133.4387081
0.75,78.47507576,116.4277161,238.9489093
0.750694444,78.03848437,118.0592901,199.9418342
0.751388889,77.5796179,119.679597,200.3034904
0.752083333,77.4548775,122.3955107,183.6421348
0.752777778,77.10293138,122.5663131,183.1935278
0.753472222,76.79999041,122.7310188,187.8114849
0.754166667,76.55496463,122.7296994,160.2103414
0.754861111,76.31439386,122.7344825,159.2038165
0.755555556,76.2342036,122.8279576,159.1998285
0.75625,75.40111594,122.7997207,157.3033884
0.756944444,75.81097725,122.4511277,162.6413626
0.757638889,69.49822208,122.0346665,149.5853416
0.758333333,69.83234815,121.7166463,148.7973366
